serial:  1 cards:  J3J9J 	type:   	hand_value:  1 rank_card_on_index:  [ 1, 3, 1, 9, 1 ] card_count:  { '3': 1, '9': 1 } bid:  552
serial:  2 cards:  J47JT 	type:   	hand_value:  1 rank_card_on_index:  [ 1, 4, 7, 1, 10 ] card_count:  { '4': 1, '7': 1, T: 1 } bid:  715
serial:  3 cards:  J5KJ8 	type:   	hand_value:  1 rank_card_on_index:  [ 1, 5, 13, 1, 8 ] card_count:  { '5': 1, '8': 1, K: 1 } bid:  909
serial:  4 cards:  J63J8 	type:   	hand_value:  1 rank_card_on_index:  [ 1, 6, 3, 1, 8 ] card_count:  { '3': 1, '6': 1, '8': 1 } bid:  320
serial:  5 cards:  J89TJ 	type:   	hand_value:  1 rank_card_on_index:  [ 1, 8, 9, 10, 1 ] card_count:  { '8': 1, '9': 1, T: 1 } bid:  63
serial:  6 cards:  J9J8K 	type:   	hand_value:  1 rank_card_on_index:  [ 1, 9, 1, 8, 13 ] card_count:  { '8': 1, '9': 1, K: 1 } bid:  886
serial:  7 cards:  JTK4J 	type:   	hand_value:  1 rank_card_on_index:  [ 1, 10, 13, 4, 1 ] card_count:  { '4': 1, K: 1, T: 1 } bid:  679
serial:  8 cards:  24K3A 	type:   	hand_value:  2 rank_card_on_index:  [ 2, 4, 13, 3, 14 ] card_count:  { '2': 1, '3': 1, '4': 1, A: 1, K: 1 } bid:  186
serial:  9 cards:  25QA7 	type:   	hand_value:  2 rank_card_on_index:  [ 2, 5, 12, 14, 7 ] card_count:  { '2': 1, '5': 1, '7': 1, A: 1, Q: 1 } bid:  602
serial:  10 cards:  26T97 	type:   	hand_value:  2 rank_card_on_index:  [ 2, 6, 10, 9, 7 ] card_count:  { '2': 1, '6': 1, '7': 1, '9': 1, T: 1 } bid:  36
serial:  11 cards:  27648 	type:   	hand_value:  2 rank_card_on_index:  [ 2, 7, 6, 4, 8 ] card_count:  { '2': 1, '4': 1, '6': 1, '7': 1, '8': 1 } bid:  18
serial:  12 cards:  28A4Q 	type:   	hand_value:  2 rank_card_on_index:  [ 2, 8, 14, 4, 12 ] card_count:  { '2': 1, '4': 1, '8': 1, Q: 1, A: 1 } bid:  714
serial:  13 cards:  28A6T 	type:   	hand_value:  2 rank_card_on_index:  [ 2, 8, 14, 6, 10 ] card_count:  { '2': 1, '6': 1, '8': 1, T: 1, A: 1 } bid:  887
serial:  14 cards:  2965T 	type:   	hand_value:  2 rank_card_on_index:  [ 2, 9, 6, 5, 10 ] card_count:  { '2': 1, '5': 1, '6': 1, '9': 1, T: 1 } bid:  872
serial:  15 cards:  2T375 	type:   	hand_value:  2 rank_card_on_index:  [ 2, 10, 3, 7, 5 ] card_count:  { '2': 1, '3': 1, '5': 1, '7': 1, T: 1 } bid:  903
serial:  16 cards:  2K637 	type:   	hand_value:  2 rank_card_on_index:  [ 2, 13, 6, 3, 7 ] card_count:  { '2': 1, '3': 1, '6': 1, '7': 1, K: 1 } bid:  46
serial:  17 cards:  326A7 	type:   	hand_value:  3 rank_card_on_index:  [ 3, 2, 6, 14, 7 ] card_count:  { '2': 1, '3': 1, '6': 1, '7': 1, A: 1 } bid:  546
serial:  18 cards:  32845 	type:   	hand_value:  3 rank_card_on_index:  [ 3, 2, 8, 4, 5 ] card_count:  { '2': 1, '3': 1, '4': 1, '5': 1, '8': 1 } bid:  457
serial:  19 cards:  32TK7 	type:   	hand_value:  3 rank_card_on_index:  [ 3, 2, 10, 13, 7 ] card_count:  { '2': 1, '3': 1, '7': 1, K: 1, T: 1 } bid:  253
serial:  20 cards:  34K8A 	type:   	hand_value:  3 rank_card_on_index:  [ 3, 4, 13, 8, 14 ] card_count:  { '3': 1, '4': 1, '8': 1, A: 1, K: 1 } bid:  748
serial:  21 cards:  3742T 	type:   	hand_value:  3 rank_card_on_index:  [ 3, 7, 4, 2, 10 ] card_count:  { '2': 1, '3': 1, '4': 1, '7': 1, T: 1 } bid:  660
serial:  22 cards:  374QK 	type:   	hand_value:  3 rank_card_on_index:  [ 3, 7, 4, 12, 13 ] card_count:  { '3': 1, '4': 1, '7': 1, K: 1, Q: 1 } bid:  918
serial:  23 cards:  3T792 	type:   	hand_value:  3 rank_card_on_index:  [ 3, 10, 7, 9, 2 ] card_count:  { '2': 1, '3': 1, '7': 1, '9': 1, T: 1 } bid:  79
serial:  24 cards:  3A57K 	type:   	hand_value:  3 rank_card_on_index:  [ 3, 14, 5, 7, 13 ] card_count:  { '3': 1, '5': 1, '7': 1, K: 1, A: 1 } bid:  686
serial:  25 cards:  47AK6 	type:   	hand_value:  4 rank_card_on_index:  [ 4, 7, 14, 13, 6 ] card_count:  { '4': 1, '6': 1, '7': 1, K: 1, A: 1 } bid:  811
serial:  26 cards:  47AK9 	type:   	hand_value:  4 rank_card_on_index:  [ 4, 7, 14, 13, 9 ] card_count:  { '4': 1, '7': 1, '9': 1, K: 1, A: 1 } bid:  683
serial:  27 cards:  4827T 	type:   	hand_value:  4 rank_card_on_index:  [ 4, 8, 2, 7, 10 ] card_count:  { '2': 1, '4': 1, '7': 1, '8': 1, T: 1 } bid:  133
serial:  28 cards:  48632 	type:   	hand_value:  4 rank_card_on_index:  [ 4, 8, 6, 3, 2 ] card_count:  { '2': 1, '3': 1, '4': 1, '6': 1, '8': 1 } bid:  16
serial:  29 cards:  49632 	type:   	hand_value:  4 rank_card_on_index:  [ 4, 9, 6, 3, 2 ] card_count:  { '2': 1, '3': 1, '4': 1, '6': 1, '9': 1 } bid:  256
serial:  30 cards:  49KQ7 	type:   	hand_value:  4 rank_card_on_index:  [ 4, 9, 13, 12, 7 ] card_count:  { '4': 1, '7': 1, '9': 1, Q: 1, K: 1 } bid:  757
